Time,1,2,3,Dose
0,3.125798,4.198678,6.944526,150
2,39.98388,33.09665,32.37316,
5,34.65999,33.59256,41.89746,
10,27.27399,35.86334,48.1951,
15,36.83488,42.20346,48.95682,
20,45.68641,45.39749,53.11881,
25,50.20914,40.68103,55.28287,
30,45.55782,37.80396,58.53225,
60,33.15527,32.68659,47.01411,
