Time,1,2,3,Dose
0,4.275474,2.750974,7.681457,550
2,48.93567,58.56963,71.70238,
5,46.67444,60.89064,84.87692,
10,51.02645,49.03608,88.71565,
15,56.42986,60.34137,92.26531,
20,58.89327,66.745,93.70061,
25,63.06897,67.4832,87.8506,
30,62.96672,63.84009,89.28063,
60,83.3308,56.83891,68.1183,
