Time,1,2,3
0,0,4.903896,0
2,100,100,100
5,100,90.50385,97.05456
10,100,100,100
15,91.31331,91.9328,88.84251
20,70.45722,42.58752,62.22494
25,15.99695,35.72961,18.93962
30,16.56726,27.39798,3.116904
60,2.643345,1.6345345,0
