Time,1,2,3,Dose
0,0.99154,3.764033,0.786219,0
1,94.4842,88.30276,73.752,
2,91.65919,93.69549,86.19327,
5,86.75946,91.66898,86.90762,
10,42.39731,34.9977,48.03722,
15,18.43743,24.17935,18.20772,
20,9.219844,9.446761,10.28766,
21,41.24318,45.11472,33.04315,
22,72.31188,74.61041,56.29181,
25,86.39214,89.03613,74.29461,
30,84.71585,90.50783,76.08892,
45,91.3932,93.16126,78.89916,
60,90.65618,91.54117,74.16722,
