Time,1,2,3,Dose
0,4.17414,2.439643,8.336985,550
2,60.86042,58.78082,78.95473,
5,66.4096,58.27955,81.88036,
10,54.85086,56.93572,75.47296,
15,31.06532,16.78547,42.51013,
20,8.856769,2.855542,20.02101,
25,5.202683,6.084694,13.34737,
30,5.677921,9.034984,11.69086,
60,6.4556,4.656946,16.63924,
