Time,1,2,3
0,0,0,0
2,100,81.49783,81.18362
5,26.28829,40.94656,43.50581
10,12.4333,10.00707,6.890721
15,0,6.96519,0
20,12.99101,7.333006,1.91085
25,12.51292,0,0
30,13.67968,0,0
60,0,1.343,0
