Time,1,2,3,Dose
0,9.784907,7.614894,7.511891,0
1,84.87956,95.9067,93.14775,
2,91.18828,96.74056,96.2473,
5,78.97225,90.67484,96.53927,
10,24.53879,29.03666,43.92792,
15,9.873513,10.20348,15.09202,
20,8.882441,17.93764,12.41237,
21,66.58411,89.31816,81.68426,
22,90.83625,98.06654,94.5574,
25,85.12096,97.60742,96.58641,
30,28.65976,33.99712,30.91291,
45,9.091543,10.41093,13.3591,
60,7.563361,9.384577,12.20379,
