,$- fb$,$+ fb$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_2$,$k_4$,$k_6$,$d_1$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M2}$,$K_{M4}$,$K_{M6}$
789,0.00016296304637448608,29.020543727799502,11178.923132616295,0.1198161403659822,617.0923186969397,206.53012266955076,0.06283369051710616,0.6653763638400877,0.013593567310157963,47.086742297441056,0.002144286882225174,0.9638295514641682,39.424835264898405,0.0003445532669935434,0.0003638424104824389,0.0043466904655257285,0.7711705940284531
790,0.0001707153264428793,29.39575615716281,12102.542137918077,0.13554486270975624,686.7477275842839,279.7150303257531,0.09744587315547203,0.6663586071598053,0.017847852849718387,45.497633623400446,0.003010918636717324,0.9493488369181554,38.843608521338176,0.0004745801352559229,0.0002642700279671059,0.004313606395548069,0.564963752084742
791,11.348850949855365,1133.5447175706595,0.08143854075740788,1191.7771654199282,1.1663672374238792,5785.701443016749,23.90610969815354,9220.879001964899,0.17087585008995385,10724.60955107621,0.0003217546301402326,266.43632268624424,0.03666426413364524,0.00012877168414079135,0.00012136484941322956,0.7300189911462395,6.241818436789748
792,0.0005091709171519922,703.5714347946213,13319.60374776031,0.22137306676588442,0.8229520981611529,3939.1418018719723,0.0006329994607304143,208.09317284825988,0.23024202057844098,6347.274335036176,0.0031430225693275036,3.028106897147955,0.004374105145835014,8.23726986688481e-05,0.00010090266128598696,1.1430913314102156,5.497944118216727
793,0.004237912641841713,210.41312560723566,8536.432307529554,199.64712232111128,0.8817299155614263,1086.404498639135,0.007024963274313747,232.52297184187802,1.38554579256705,1374.1693655044883,0.00011349727555709471,2000.8769665785296,0.013923759468887253,0.00011903826037234752,0.00010165554312193552,5.0910315024735295,5.010012285447105
794,0.00019352273051566308,40.41386777028993,10482.5124976641,0.0804877058978115,694.8730873810086,253.14353269347646,0.07287087954748342,0.8800715420194152,0.012487457966436194,38.28175395979625,0.0024264300297115603,0.783607919707971,33.92839147856608,0.0003194821124112284,0.00030333101889755084,0.005048560766156872,0.46509808608399983
795,0.00021642121631937656,26.922472984002297,10872.654077813226,0.10352130719028145,749.9471070877318,318.54411975363564,0.051664941321998364,0.9632848847663987,0.015331651831026635,36.83310869252651,0.0019832191525819445,1.0391880268122864,45.52276738712298,0.00036891359454489824,0.00029554568542397737,0.005488643864669282,0.3844521672590887
796,0.00018910149956943674,27.74860938163069,7288.6394934866485,0.09474188703406472,596.2685098083135,221.13394881353352,0.08582585849443115,0.6602691942431697,0.01219585589560229,48.04741549016023,0.002713592968635442,1.0410158764906323,25.613456282719426,0.0003690373299203013,0.00035339724277783633,0.004628077325562465,0.5387249032084482
797,52.96265226012437,340.141961878164,8.927690326847571,0.018433830577600917,2.2140259337858708,2360.199412777913,63.17402571589999,1614.1208068829628,0.2412893069682456,1010.1031012226009,0.001854598503034861,0.005799440417667902,0.09233864140734695,0.00011325427925868967,0.00014054076619629495,0.7645510189094442,1.391640719519462
798,0.00027246140145754434,25.777955358625814,8022.787321997221,0.08937337902573778,649.9815400514184,210.0239934951846,0.08664555849082567,0.8927060319002099,0.012982171138991897,44.57128676795787,0.0021755285555579806,0.9028911297754708,35.5925248993123,0.00031950289387796773,0.0004420304700434716,0.004419142304777585,0.7630292223848625
