,$- fb$,$+ fb1$,$+ fb2$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_9$,$k_2$,$k_4$,$k_6$,$d_1$,$k_{10}$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_9$,$K_{M2}$,$K_{M4}$,$K_{M6}$,$K_{10}$,Thresh,MSE
0,-2.0893015393475007,3.999999999999978,8.0,3.992835459845608,-0.9553514791456195,0.04014122093985952,3.851378853845569,-0.9346713014283718,1.8795885364712124,2.2368519495834986,0.10753452413061293,3.2837152392150566,-2.2625282896557355,-3.9997830582138505,-0.9043199051329296,-3.999301282647438,-2.347560537438169,-1.1420543997348398,-3.2981863390035384,0.48398840456824477,3.0630022811263533,-0.026732540423776804,1,1242.320255232168
1,2.309161495116217,3.999999999995663,4.366522701883277,3.9999999999988916,-1.1756582997596388,0.940082120990243,3.6317910504755293,2.388035251153455,-1.752509167252799,-0.31360724859368094,2.9408515085886036,-0.4302724055890978,-2.3352099480410793,2.711451925089033,2.496425843714615,-3.1130123237263065,-1.9593309935752057,-3.9999999999729097,-3.714303915602212,2.506527567144185,-0.4282172622172613,3.002829981075152,1,711.966696059619
2,1.851281492628619,2.685240368235746,4.9428939317021445,4.0,-0.6526258601378183,0.6848415332328921,3.9992452876258966,3.9999999999676596,0.7064329274174153,0.03222120045885825,2.0485816739485427,-0.3531094598719937,-2.386357896738134,-3.999933555305713,0.7809091551206757,-0.5123628706028196,-1.671451262137186,-1.9399675673247954,-3.6105772033138113,2.7284413403761425,-0.11523527506121847,-0.6561315586930245,1,1073.7553470683658
3,3.069734858811037,3.046181606496183,3.5077560084498645,2.5445164433160956,-2.4319085671096747,3.1018467804927345,2.474472875310995,3.4491703626272834,3.6733720092929385,-0.6711694031807269,2.867740584028911,-1.036913974290294,-2.097501761030248,-3.9965070356485732,1.4631941154470347,1.7478632636507694,-1.4714765041529718,3.2591544734883406,-3.6231414474650823,3.3559581357984714,0.06095656726268124,1.5263298166703754,1,1097.335854232322
4,-1.1602200090757115,3.8067601879387114,7.8625499056204085,2.7943973947386898,-2.6056511783895786,0.765899506102584,3.840535982923398,0.999914763185707,2.6989318598414513,0.11877760145106554,0.39747031436375924,2.397845294080473,-2.731386497493933,0.43409715138942584,-1.910436596677421,-3.999999999999992,-1.180026285607088,-1.9930973399674148,-4.0,-0.00876586861450868,3.180147214454043,-1.7317024472084181,1,952.5025179564587
5,0.39254332892148375,2.9504841977753316,3.4435475908157445,2.1789231804900284,-3.190204106127495,1.2521518039915644,3.7540923545299414,0.34816903687082595,3.056714153296382,-2.1300341684101305,3.9999999999991136,-0.3944991440063248,-1.7405164263065993,-3.999999567086265,2.680393334461187,-0.649972648636866,-0.6927010498212676,-0.7336456804005547,-3.5387008890092977,3.9999999999997335,-1.6560230248837335,-2.3731111662345157,1,1222.0671998981654
6,-3.7732942265653753,2.6770801562076807,7.460956344594262,4.0,-0.9507611716224584,0.4467843936433775,2.8599613494198657,-3.148656505569276,-2.1396617190712517,-1.2309589727808081,-1.7580523494388745,0.3917494476567978,-2.2610048981950106,1.1663801267910525,3.264001250600237,-1.028097532057628,-0.5762165024017056,-1.3823116806894484,-3.7203582847276957,-1.6969623436690249,2.7300557598010746,0.6536937069576396,1,1157.2212918908237
7,1.7965887753196963,2.2340157636933142,4.575039840420342,3.072043371595546,-2.021161743375311,1.8838004285235463,2.8212378098964193,3.9689586689630723,3.9999995389107728,3.363701422637325,-1.6095414957626675,-1.7586296035341924,-2.795278741521507,-3.9999457837182923,-3.404095792911207,0.356407278036583,-1.2629906429599567,3.875148813576783,0.4032322063797631,-3.890913996602136,0.8548606998522867,1.1303898910044277,1,862.66490050876
8,-1.6866474079574587,3.583137719367966,6.802263056175423,2.348704135469868,-0.3721495553731309,0.281110439392136,1.8010853744154636,-0.3508475402235458,3.918669111319586,3.531540408554357,3.995648465705912,-1.5357297729205266,-3.999999999926157,-0.05969734731981726,-2.7342987449547307,-3.999999868740045,-3.9999999960467374,3.999999999967539,-2.4764896506892526,3.9999999999963975,3.8642363397397093,2.460821283787265,1,1062.9055253506313
9,-3.9133141548400427,4.0,3.5821749363136393,2.8319727215663955,-2.5655893881634197,3.49137163665415,1.971223642866879,-1.4159315682871236,-1.1565361713136548,3.4500473093170934,-0.44794013914633535,-2.5460276483117257,-2.8168047298978154,2.7185163687121783,1.7008646419424478,-0.23123112273713084,-1.0420336684276874,-3.479556700765005,3.6720309414911263,-3.999999989890873,0.838196036753394,2.235413718448928,1,1122.3420771014326
