Time,1,2,3,Dose
0,69.38873,67.22469,67.29104,150
2,78.92685,69.1904,68.39286,
5,84.23999,83.47868,77.93726,
10,77.56854,80.05943,81.8568,
15,74.45862,72.9192,78.53608,
20,76.10987,65.80592,74.72912,
25,72.80174,67.29334,74.35256,
30,73.53631,69.16779,74.10792,
60,73.80889,66.10284,74.07901,
