Time,1,2,3,Dose
0,63.447116,75.3653,68.82654,0
2,69.855023,72.66918,68.79368,
5,69.183544,69.35816,68.85056,
10,67.334728,75.02377,67.96908,
15,69.698342,76.84593,68.96395,
20,67.712755,68.90033,68.88855,
25,67.082166,72.15526,71.95522,
30,63.562479,66.29074,71.56434,
60,63.574903,61.52106,70.78726,
