Time,1,2,3,Dose
0,58.50984,54.41203,70,350
2,96.55209,97.5829,100,
5,96.83598,97.03801,100,
10,92.19024,91.70291,97,
15,86.16935,84.59558,86,
20,85.2232,77.46783,83,
25,80.6368,72.2915,80,
30,78.38592,59.48386,75,
60,66.02739,62.83312,70,
