Time,1,2,3,Dose
0,0,1.656178,0,250
2,100,90.85249,100,
5,100,90.0583,83.6701,
10,37.23109,45.36724,45.22699,
15,9.120401,4.591629,7.702984,
20,14.23856,2.776147,5.779902,
25,18.04331,0,0,
30,7.050623,0,0,
60,0,0,3.212,
