Time,1,2,3
0,0,0,0.51730597
2,100,100,92.99974187
5,100,99.36286436,91.48135477
10,91.73164138,86.1931468,65.02061178
15,13.24011655,12.55269767,6.61319185
20,0.078862524,0.631904138,0.8521779
25,0.089212336,0.218028241,1.486979455
30,0.000528198,0.373830906,0.453928402
60,0.000298482,0.000496475,0.08748079
