,$- fb_1$,$kb$,$k_1$,$k_3$,$k_5$,$k_2$,$k_4$,$k_6$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M2}$,$K_{M4}$,$K_{M6}$
27,0.02096066123990443,1658.8569832641492,0.023373833471018176,6814.770667563864,3.569553672229266,1832.8377521415123,0.0047909721275991805,4508.69042346184,0.37863116617342313,2.7080772874278707,0.008664608202331774,0.00010643827359096945,0.007382993684533189,6621.816608794411
28,0.021043425910247816,1695.9046897934372,0.02434066118643311,5276.5471927954,3.2396485843128744,1383.8218102117112,0.00414180691713643,4719.556692729016,0.47132884723238033,2.3640263719727197,0.0066865579840052446,8.378687410551346e-05,0.00811384653296407,9517.557574460712
29,0.008720265583145342,5008.375306491855,0.10538008571988004,5133.440176044307,12.892008346776661,10113.024608015463,0.003235873580747642,23.070541114610638,0.2956819121220675,1.3883255010915605,0.6137468383442848,0.00010066062925489579,0.0009785433267068355,84.50777281360449
30,0.020828710675644777,2171.0882514990035,0.02345131031124758,5140.150995138098,3.409532236260485,1638.1917197886523,0.0038599083931404386,3711.6882172199034,0.4336151561963101,2.762561075103364,0.008800176905460932,9.814941061155886e-05,0.009523441869254598,6406.45839512097
31,0.014740172950765825,1737.6457760466556,0.018164641363695656,5515.623469565668,3.9995184204368304,1266.0445277143938,0.004110683099969758,3304.684301535726,0.435739208626401,2.3382619156845217,0.007629875357375752,9.141650619591389e-05,0.007548218054417308,8441.368783725979
32,0.01397100546977569,67.45297827122664,0.0012971281447596197,9610.751201606112,39.91504057330082,1475.731024246781,0.004539916802803158,3289.3852998460366,0.00011309828661694606,1.9502942104672725,1.5270364671577514,9.715380559630442e-05,0.0012778091509108803,8444.433635575246
33,0.008005587898187021,4.376122091249815,8.570598720223121e-05,2923.532172300913,8286.435957085385,64.21649506575885,0.003364673180142296,113.48287137350272,0.012376111005049397,0.9463600414446144,369.7548509967841,8.253827980096496e-05,0.0007511145921636163,453.8367326497882
34,0.021409550773055876,54.18950076145643,0.0009226475734381549,7815.065820562543,39.89730212902018,1527.7592555407857,0.004598605309845127,3393.2940259277307,8.23509348480064e-05,1.9778482087014266,1.3415340249061072,0.00010396611143793988,0.0014393504931699101,12303.058655314158
35,0.008490651843767138,10727.012628023842,0.3048666940988067,11351.350053290596,2.3574954322188124,8542.54512650816,0.0053631207372208224,2188.7302894383683,1.095856752547958,3.1896772790805015,0.0020101774051560738,0.0001168713798128166,0.01808131154607145,4432.237975396215
36,0.017893195595083778,20.326157206631155,0.00019539348999665607,1530.6693559454498,1462.7317350199367,308.7732443404164,0.0047511902727945,0.070887662915043,0.001688763829143842,0.3382108164471401,57.371296325779106,0.0001030064193865969,0.003756551613597496,0.1355616507568144
37,0.017945720457634245,51.342619446452524,0.0011540679612034523,7531.080588336682,46.38087181743611,1632.2027236515587,0.004796263088194967,3007.28425349455,0.00010033229289730785,2.2510264339443946,1.205984638802357,0.00011409232757723758,0.0016152137698810863,8346.35783648164
38,0.017019815964035505,1607.495654802506,0.02673732612780396,5327.830068254177,3.4102993077353014,1318.7860020027151,0.005226460401447734,4881.903425473169,0.41444955353131296,2.1030682536717764,0.008771539280189658,9.180560954289586e-05,0.011337734345380013,6667.148687534644
39,0.01789536465710222,60.47556594343029,0.0008853934556315305,7330.485321769463,47.49916984028251,1682.899918328894,0.003865797196902211,3048.686289549793,0.00012461465097136326,2.0461097676794973,1.2813457287183363,0.0001168916761222492,0.0016151422879595197,8176.835312194645
40,0.014963336302423294,2053.2347902524984,0.024886768720582333,6391.171865042301,2.721482637541468,1670.6605412284555,0.004953274194210192,3759.906792144657,0.41703884460403157,2.7935628368974017,0.007742701118489119,9.303636634981372e-05,0.01104807351510854,6794.313797115899
41,0.009159545304530597,9994.98715627262,0.3154653804440773,11483.043384199062,2.566457533956973,8094.431230376318,0.005874512308716837,1840.0839173219574,1.2284815754295744,4.640889399461673,0.002013735420920672,9.690784939973146e-05,0.022093730732259443,4620.80951480927
42,0.01793414164891105,51.46201588781731,0.0009961094512050536,8948.843704924408,45.51089505457469,1682.5976336551796,0.004022861123992755,2988.7623609585557,0.00011849391409401338,1.7681475082818034,1.1193982179186568,8.757461096664536e-05,0.0011973824167388646,9672.386739222104
43,0.008802813539069986,10431.478125500947,0.28389944278290713,9216.074603953228,3.1864530534070084,7944.289782818504,0.005123769790853961,2044.2428545283246,0.8819250257132775,3.8260770563620223,0.0018394529478665189,8.301053366763486e-05,0.01932619112817882,4149.018062406667
44,0.009435712779521281,4.837612075998693,0.00010105853941557915,2897.184664034298,9626.480196639464,77.47615167933952,0.0035713739040499474,125.90446863784344,0.010695781861140702,0.8785393395716798,430.3232405961291,9.448497101836254e-05,0.0007370721023870752,438.0698568886179
45,0.018090361423441777,15.553949388072036,0.00021241139132646846,2196.9018887760385,1062.6616860280535,280.1121780624383,0.0064661558612322916,0.04649128723038784,0.0018137372038266122,0.40534797778394616,51.359943842541334,9.072610558006632e-05,0.003549204688391128,0.10321523854703789
46,0.010245873637056134,12426.915767064324,0.30833784070143994,9582.891364728557,2.1891858160737816,11888.467173186,0.005400200796922328,1610.3131340908958,1.0462893745998039,3.103509223300704,0.0024850529959625,0.00010532545272508284,0.02001731864746976,4659.678368481748
47,0.009237580129555126,8983.893845861221,0.35162177255363014,12551.737815211422,2.6033030545130975,11753.23808524517,0.0059500103932929,1613.4576832097946,1.2414109430673514,4.314005727591743,0.0018483110791013182,0.00011749926150914929,0.021926873651399725,4532.47637879601
48,0.018593371178035806,74.51042249569934,0.0012196827120337721,7648.871454281377,47.271777508871466,2027.7845354475419,0.004675161501395782,2820.345747427829,0.0001070541097064265,2.013329465999419,1.0299217072850788,9.323548377081984e-05,0.0013154843476946784,12318.137250288122
49,0.017250696029102067,70.57413293975428,0.001050075584032281,6918.521247249132,44.691729301596254,1338.9037947630109,0.003877276175459498,2728.6741359061944,0.00010516698768627531,2.137262002587931,1.5355487898261333,9.825313062697134e-05,0.001432128846621997,10806.755921001697
50,0.018707077560978638,2204.362077113247,0.018273419911012136,6795.500378187362,3.8024412583845697,1647.2246891210916,0.004707210488475994,3781.3292168751723,0.35921418766487895,2.527777812502104,0.009883484773827153,9.159131831979096e-05,0.009004501937792496,8895.253595557402
