,$- fb$,$- Hog1$,$- PTP$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_9$,$k_2$,$k_4$,$k_6$,$d_1$,$k_{10}$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M9}$,$K_{M2}$,$K_{M4}$,$K_{M6}$,$K_{M10}$
675,0.004714333457881393,1.6238406522684048,8614080.278819306,243.21243128960413,0.0021647288328990513,6.6300225095589,10793.828940995938,0.010945678983995455,124.4982329012403,0.0639809564324906,0.03285884808773654,129.30355910878072,0.003918479639263886,9.114535468079626e-05,41.09227317323624,0.0913933164822868,0.05387158243616442,0.00048206021747581744,0.0010230777516035709,0.0009643144629214151,138.79008774812226,47.27636917267042
676,48.224118780843156,6.829438462982358,74452477.3696908,18.737875398181927,0.00018098537821009214,77.45233973966465,4732.80293409826,102.20134134006373,3894.4974217247045,0.0036603944596193946,7524.1136673593755,14317.374463650434,0.013030933714951166,0.0001054780096305232,119.07736207118982,0.5873345149227575,0.04554869494478368,0.0028238574205796335,0.00011456397159012444,7507.8733589373305,2707.3009343750255,7.189063312695621e-05
677,0.005310198181776183,2.095123015067102,5862522.257896038,186.05863319737335,0.0013967148339868395,8.156906434287391,9514.466314463194,0.009002495142518302,85.68508886591583,0.06447253054073424,0.03831966607600304,144.82830529702886,0.005926326929494661,0.00010936516816039382,33.02227391700903,0.11757957007058528,0.0670702357208128,0.00034685479558912936,0.00128544624449498,0.0009371068356677727,109.87609711107272,30.448887900686245
678,0.000126942541304026,7.950266931510343,16281.918239071385,0.38885847189493766,9.603926547329747,1.3382646055595973,32.06014302535251,0.00020261270283171992,12656.468398453462,71.04005627113541,1402.3947003617138,391.1293270832685,7.87829019853738e-05,11045.14517832315,334.91767545504666,0.0038563775222265214,0.030692647059069728,0.00010149125036655368,0.00014429837293046985,5392.55846891727,79.67718160132858,17.429403080538265
679,0.011653355812419205,25.048853772292,84616.3030683441,13234.498113044463,0.0358831004333919,3053.933013187345,6215.474160923497,0.009393668770078287,1945.4576252669035,6637.3194558297855,0.19169611196949118,60.40956222394056,0.001685200096951059,9883.641942302505,0.0021419112260064985,13.085783694179256,493.63800394491506,0.022196183140489555,0.00039062613774496315,0.007692295013534814,9682.155074539965,5.7673618147348735
680,40.08589596146941,5.595121050177028,79808458.99933673,18.962491586117658,0.0001612843159052667,100.51377097622158,4947.982787986086,108.55830798320795,2498.789650394262,0.003933081680675736,10355.991956474067,9114.827575852774,0.007175311487187389,8.594901069311545e-05,70.75021075161719,0.525701012979047,0.04847381137818077,0.003686544881078006,8.927062266674049e-05,8257.532412152537,2503.7998386798267,0.00014223907828866242
681,0.007843274236800908,2.3587919630023766,7012075.744428075,232.94748463214623,0.0010826964526208644,9.994102047831978,10131.530573341524,0.009151499913994112,139.60744595599152,0.05325182988072358,0.03342577191238955,172.2921595236793,0.003394832654338181,8.583214956204569e-05,51.08205921295694,0.11251770836340996,0.061186429581878865,0.00027466281547643996,0.0006511052169815145,0.0016868026582441981,106.22970248235916,28.743343275378404
682,0.006888162246614174,1.6057589666316203,8781378.032625262,240.3567595533441,0.002134311085928226,7.380350702835153,12347.82201529191,0.01626076542743751,131.18850723189504,0.05794021152157459,0.03215060952636523,114.12408099931069,0.00516186864609231,0.00013325724560236306,47.79079686126304,0.10548996131513197,0.0745989452019681,0.0002640800860844141,0.0009454666039706888,0.0016018403150639218,112.74304485982132,29.38392542842552
683,0.006566316246927532,1.6804794299999077,6471381.699723209,232.376919968797,0.001849085174452092,8.684067104763821,8562.941076091993,0.012973231082027789,80.20355139808186,0.06847455674069823,0.03273988406808679,108.91454552418894,0.0042241409313587604,9.412822717711217e-05,36.376480119154735,0.1314331663868835,0.05018645700613563,0.00048628979641606243,0.0006345974243727463,0.0018192640876036528,100.4767519210024,30.543466903765115
684,0.004883347587407297,1.6588973595618768,5686289.970284092,219.38648424207113,0.0021745447262776097,7.056003984492508,7361.512974236214,0.012091199274070503,131.85175515509943,0.06027390497457553,0.028169149569206214,127.41292553135611,0.005738878387715117,7.66353956994758e-05,40.93023834414412,0.13863727557259428,0.06742675432414909,0.0005601500962792501,0.001285718677218889,0.001009954608097605,133.98042213532915,26.233997723141034
685,37.77690485054724,6.459655542308856,79026062.93004803,15.701743486825208,0.00017064296083222515,66.29493130692273,5249.408185626263,96.33595906903898,3493.471237344616,0.0048167915440336705,8606.546297443756,8969.907882619818,0.009501429925306844,6.465090599836865e-05,67.4097372404763,0.6019114287833471,0.05903312734087303,0.004583748930881759,0.00010978112844462296,7641.63433564618,2559.2901515962567,0.0001100309092546748
686,37.03035272002571,5.402121366297333,69236679.0276185,16.041796591666582,0.00017042154833757784,81.83541843065808,6143.416148129675,105.92468692174451,3266.495474488712,0.004003409725299057,9267.001245017726,8054.598445461984,0.007430406500771358,5.557813559267037e-05,71.10785249913249,0.5869619749378792,0.05777257454834547,0.0034872383469145857,0.00010137223319732255,7394.825695247796,2429.851625011214,0.00010505091923201717
687,0.00011551671393987598,5.514649440196765,16739.29523255099,0.3597047837472949,9.057629443606649,1.3619927520653226,41.55280114124613,0.00021825951151907381,9742.919604797167,58.274136688277785,1563.9324084258885,366.44220550166534,7.941591875215359e-05,9571.528499691634,426.39061927468464,0.004848927660070792,0.031408421320819495,7.514445909523952e-05,0.000127781109361564,5333.685389465917,107.17205657761843,25.356241482506586
688,34.663026062444374,4.524586936959757,74289355.14418356,15.08815144306048,0.00015118593968031958,75.74295529765791,4077.906633572856,81.62291768987959,2573.8526951418944,0.0036206495650680276,10948.763711551379,12068.393351150775,0.010232707504471916,8.489565349108304e-05,96.85584069277897,0.6181639192479449,0.058768660797474136,0.004773598111855874,0.00012151783362413921,11364.136213294189,3608.6691005693697,6.690893597556264e-05
689,32.144884728102255,4.032909220060501,73400167.20507202,14.299331757846053,0.00018089071844252575,93.11684988501312,4602.958239271006,80.85615455361493,2153.9810232115788,0.0044693598181404365,11260.531915370922,9122.504103093976,0.007448052741967585,0.00010036280899103125,65.57882030693193,0.6379451123659511,0.0573465136166694,0.00405257755429213,0.00014636172940027926,7730.711213209213,3028.3017700830255,6.091437089268783e-05
