,$- fb$,$+ fb$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_2$,$k_4$,$k_6$,$d_1$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M2}$,$K_{M4}$,$K_{M6}$
0,0.00017095555644080243,620.6968707716425,9613.439141127275,0.11876350222609794,9348.415636692496,3523.0481502565463,0.0037768868442593162,0.003275063592166546,1275.5679275033522,490.0438333558483,0.00424403260696938,7230.647772658426,0.05084182563015333,0.00016740221591569936,8.228618314079462e-05,0.8227810456127284,0.35046632251554405
1,0.0001429300529225957,643.2845951084685,9082.826600165736,0.14771229799141994,9395.656708258237,3155.1815212039596,0.003676306944856385,0.0028036835789104907,1351.32546956974,434.84971804342547,0.004072262690902119,9077.65010020849,0.042352985205324115,0.00018008335273499097,0.00012099195826426345,0.7295472749796464,0.3460809960588922
2,0.00021125239264834774,581.5169995033572,8064.455693941284,0.10659190337695278,9323.120982743789,3280.471903789943,0.004964872346506137,0.0033141374646883342,1613.8058370803983,466.3633457442288,0.004798022659434575,6266.8455953024095,0.03706278387060569,0.0002308589019410421,0.00010972312256619331,0.7721460942242191,0.389843130216789
3,0.00016926637402734065,512.9591107866266,9633.37872098864,0.1179585761995028,9003.075930942616,2973.8418627822743,0.003438116764484089,0.003292470826504199,1213.57663952375,342.29649289410236,0.00487608823379296,7074.093774261017,0.04270651548173265,0.00023061213620783542,0.0001228159868997368,0.6643258777052186,0.27687498268995087
4,0.00018248191464536673,526.8355138453619,12264.539699605915,0.14891736331316283,9204.608198028862,2948.5677011316643,0.004099853967675518,0.003301396270846615,1750.322545140528,329.12704087263717,0.0038302543500286605,8203.951627525395,0.04274570625067112,0.00024591161033654473,0.00010953049183199148,0.9169255670063567,0.2863941671933466
5,0.0001592095404262285,683.7997883654292,10045.767715043627,0.11360578589249114,10248.746914242814,3045.180536902225,0.004129247347776757,0.003241347833731937,1770.5966852910071,361.1108022431838,0.004431778487114189,6384.351314690771,0.04738699104248252,0.0001951786721227527,9.853097607393716e-05,0.9901053541963494,0.26210650910098
6,0.00019470298179635694,539.9712180982834,10754.171551164183,0.12420392136666286,9693.893388766845,3799.3442287879416,0.0051607783741259355,0.0025221430735346403,1643.7505590791864,424.439993922,0.0035645259705169396,8395.564833713519,0.048396448780500284,0.00016990284027101836,9.192990996611858e-05,0.9908961257479176,0.264653033999877
7,0.00018425168587529145,522.6817572788282,8834.618432504452,0.10735361065238382,9050.646923202137,3765.9332475805654,0.003599898548735712,0.00318703663869419,1366.8168509398065,485.7941830632571,0.0038386624688514083,7503.309962890529,0.056203153614012145,0.00020268780886875022,9.353504939320816e-05,0.9760510923647846,0.3416634097354108
8,0.00015373475588641234,669.4951672706761,8872.361022965579,0.1472524411149695,9937.198828959952,3288.9837469804615,0.003599228363225767,0.002769085699553702,1855.2379056036682,360.65070081030166,0.003837804661787529,9308.00819214351,0.04054299403751274,0.00016557461445375075,9.232627371815041e-05,0.8247550318158334,0.2643154555649181
9,0.0001925365483831127,580.4355833230937,8653.264164249164,0.13995304447769957,9561.277328186445,2812.141107156023,0.004551152745870288,0.003086004215547456,1595.5898542556686,386.92865095230513,0.0037086541247616897,7645.388672210253,0.04960489595814878,0.0001654069647689301,0.00010964106185331774,0.8247181692512879,0.3861171688887225
10,0.00018763734397971406,598.197765202208,11223.570924414571,0.12437463974652908,9481.008749067927,3709.5859459014737,0.0045040083120015005,0.0025603959424171075,1442.8565852196225,508.4822331305073,0.005377450587940483,8600.659659328856,0.038639554402932506,0.00020498941632529668,9.685856884445311e-05,0.7116029501174833,0.3703130093584915
11,0.0001415729720040154,660.0942658772113,12528.906614369513,0.15717714124278329,9721.20414907097,2919.5838544153676,0.004046361327288895,0.0034034792885048806,1805.1553765038802,334.09696176067985,0.005222362749881715,6673.296412676029,0.04758463801599977,0.00017069474437769473,8.914015949016674e-05,0.7654418403270012,0.32831710595766705
12,0.00018589328982561743,486.3998763928578,11638.5459830961,0.12871522383436756,8247.59724766766,3334.577838209103,0.004524291515723841,0.0027451876429278967,1579.496640859015,413.6205044248728,0.00485550902154246,7703.781991243113,0.045953076697622226,0.00020613812390181873,0.00010519165229348446,0.9658167914700746,0.3206296658854845
