Time,1,2,3,Dose
0,4.953661,0.950047,3.781861,550
2,59.90363,40.81582,41.93376,
5,81.8709,64.79942,65.69449,
10,92.05392,91.0044,83.88656,
15,91.16752,96.80444,80.65892,
20,91.05045,98.81913,83.29859,
25,91.80049,96.10289,86.17289,
30,92.7212,93.32394,84.80276,
60,93.01127,96.90081,91.49982,
