Time,1,2,3,Dose
0,5.810211,0.519582,0.44768,150
2,57.46952,34.49979,28.14965,
5,72.26531,46.85547,36.81987,
10,61.49431,41.83957,38.56145,
15,61.73046,55.35523,48.99923,
20,68.39487,63.78901,59.26995,
25,74.58169,70.08688,63.50818,
30,83.27061,79.49882,65.38773,
60,80.72597,62.44838,57.15859,
