Time,1,2,3,Dose
0,4.703146,0.160867,0.157514,0
30,19.49208,3.220851,9.266322,
60,23.0812,5.771912,11.77252,
90,23.78619,11.41982,11.97926,
120,22.33751,15.25942,13.36057,
150,31.672,21.54743,13.66656,
180,36.30962,23.9245,18.01313,
240,33.02964,21.53151,24.90542,
300,34.87627,34.61538,9.053138,
